yyyymmdd,from_ccy,to_ccy,fx_rate
20190303,GBP,AUD,1.8630000000000002
20190304,GBP,AUD,1.8587
20190305,GBP,AUD,1.8602
20190306,GBP,AUD,1.8729
20190307,GBP,AUD,1.865
20190308,GBP,AUD,1.8476
20190310,GBP,AUD,1.8446
20190311,GBP,AUD,1.8598
20190312,GBP,AUD,1.8464
20190313,GBP,AUD,1.8801
20190314,GBP,AUD,1.8744
20190315,GBP,AUD,1.8761
20190317,GBP,AUD,1.8761
20190318,GBP,AUD,1.8659
20190319,GBP,AUD,1.8719999999999999
20190320,GBP,AUD,1.8549
20190321,GBP,AUD,1.8426
20190322,GBP,AUD,1.8653
20190324,GBP,AUD,1.867
20190325,GBP,AUD,1.8552
20190326,GBP,AUD,1.8519
20190327,GBP,AUD,1.8618
20190328,GBP,AUD,1.844
20190329,GBP,AUD,1.8365
20190331,GBP,AUD,1.8313
20190401,GBP,AUD,1.8423
20190402,GBP,AUD,1.8567
20190403,GBP,AUD,1.8501
20190404,GBP,AUD,1.8386
20190405,GBP,AUD,1.8351
20190407,GBP,AUD,1.8354
20190408,GBP,AUD,1.8325
20190409,GBP,AUD,1.8319999999999999
20190410,GBP,AUD,1.8255
20190411,GBP,AUD,1.8327
20190412,GBP,AUD,1.8222
20190414,GBP,AUD,1.8221
20190415,GBP,AUD,1.8266
20190416,GBP,AUD,1.8185
20190417,GBP,AUD,1.8168
20190418,GBP,AUD,1.8168
20190419,GBP,AUD,1.8164
20190421,GBP,AUD,1.817
20190422,GBP,AUD,1.8198
20190423,GBP,AUD,1.8218
20190424,GBP,AUD,1.8395
20190425,GBP,AUD,1.8387
20190426,GBP,AUD,1.8341
20190428,GBP,AUD,1.8361
20190429,GBP,AUD,1.8331
20190430,GBP,AUD,1.8489
20190501,GBP,AUD,1.8605
20190502,GBP,AUD,1.8615
20190503,GBP,AUD,1.876
